datetime,Current,Active_Power,Fordward_Energy,createdAt
2023-05-18 16:38:08.070,0.74,110,0.14,2023-05-18 16:38:08.070
2023-05-18 16:38:13.873,0.74,110,0.14,2023-05-18 16:38:13.873
2023-05-18 16:38:26.094,0.74,110,0.14,2023-05-18 16:38:26.094
2023-05-18 16:38:31.603,0.74,110,0.14,2023-05-18 16:38:31.603
2023-05-18 16:38:38.185,0.74,110,0.14,2023-05-18 16:38:38.185
2023-05-18 16:38:43.955,0.74,110,0.14,2023-05-18 16:38:43.955
2023-05-18 16:38:49.625,0.74,110,0.14,2023-05-18 16:38:49.625
2023-05-18 16:38:56.442,0.75,110,0.14,2023-05-18 16:38:56.442
2023-05-18 16:39:02.528,0.74,110,0.14,2023-05-18 16:39:02.528
2023-05-18 16:39:08.166,0.74,110,0.14,2023-05-18 16:39:08.166
2023-05-18 16:39:14.257,0.74,110,0.14,2023-05-18 16:39:14.257
2023-05-18 16:39:20.400,0.74,110,0.14,2023-05-18 16:39:20.400
2023-05-18 16:39:33.268,0.74,110,0.14,2023-05-18 16:39:33.268
2023-05-18 16:39:39.573,0.74,110,0.14,2023-05-18 16:39:39.573
2023-05-18 16:39:46.413,0.74,110,0.14,2023-05-18 16:39:46.413
2023-05-18 16:39:53.092,0.74,110,0.14,2023-05-18 16:39:53.092
2023-05-18 16:40:06.755,0.74,110,0.14,2023-05-18 16:40:06.755
2023-05-18 16:40:12.508,0.75,110,0.14,2023-05-18 16:40:12.508
2023-05-18 16:40:19.270,0.74,110,0.14,2023-05-18 16:40:19.270
2023-05-18 16:40:25.749,0.74,110,0.14,2023-05-18 16:40:25.749
2023-05-18 16:40:31.469,0.74,110,0.14,2023-05-18 16:40:31.469
2023-05-18 16:40:37.839,0.74,110,0.14,2023-05-18 16:40:37.839
2023-05-18 16:40:43.956,0.74,110,0.14,2023-05-18 16:40:43.956
2023-05-18 16:40:49.626,0.74,110,0.14,2023-05-18 16:40:49.626
2023-05-18 16:40:58.940,0.74,110,0.14,2023-05-18 16:40:58.940
2023-05-18 16:41:06.534,0.74,110,0.14,2023-05-18 16:41:06.534
2023-05-18 16:41:17.503,0.74,110,0.14,2023-05-18 16:41:17.503
2023-05-18 16:41:28.029,0.74,110,0.14,2023-05-18 16:41:28.029
2023-05-18 16:41:33.277,0.74,110,0.14,2023-05-18 16:41:33.277
2023-05-18 16:41:39.216,0.74,110,0.14,2023-05-18 16:41:39.216
2023-05-18 16:41:50.428,0.74,110,0.14,2023-05-18 16:41:50.428
2023-05-18 16:41:56.165,0.74,110,0.14,2023-05-18 16:41:56.165
2023-05-18 16:42:02.275,0.74,110,0.14,2023-05-18 16:42:02.275
2023-05-18 16:42:10.993,0.74,110,0.14,2023-05-18 16:42:10.993
2023-05-18 16:42:13.846,0.74,110,0.14,2023-05-18 16:42:13.846
2023-05-18 16:42:19.978,0.74,110,0.14,2023-05-18 16:42:19.978
2023-05-18 16:42:25.617,0.74,110,0.14,2023-05-18 16:42:25.617
2023-05-18 16:42:31.686,0.74,110,0.14,2023-05-18 16:42:31.686
2023-05-18 16:42:37.632,0.75,110,0.14,2023-05-18 16:42:37.632
2023-05-18 16:42:43.541,0.74,110,0.14,2023-05-18 16:42:43.541
2023-05-18 16:42:49.322,0.75,110,0.14,2023-05-18 16:42:49.322
2023-05-18 16:42:55.453,0.75,110,0.14,2023-05-18 16:42:55.453
2023-05-18 16:43:01.217,0.74,110,0.14,2023-05-18 16:43:01.217
2023-05-18 16:43:06.889,0.74,110,0.14,2023-05-18 16:43:06.889
2023-05-18 16:43:12.755,0.75,110,0.14,2023-05-18 16:43:12.755
2023-05-18 16:43:18.523,0.75,110,0.14,2023-05-18 16:43:18.523
2023-05-18 16:43:24.169,0.75,110,0.14,2023-05-18 16:43:24.169
2023-05-18 16:43:30.081,0.75,110,0.14,2023-05-18 16:43:30.081
2023-05-18 16:43:40.898,0.75,110,0.14,2023-05-18 16:43:40.898
2023-05-18 16:43:45.905,0.75,110,0.14,2023-05-18 16:43:45.905
2023-05-18 16:43:54.764,0.75,110,0.14,2023-05-18 16:43:54.764
2023-05-18 16:44:03.561,0.75,110,0.14,2023-05-18 16:44:03.561
2023-05-18 16:44:09.507,0.75,110,0.14,2023-05-18 16:44:09.507
2023-05-18 16:44:15.594,0.75,110,0.14,2023-05-18 16:44:15.594
2023-05-18 16:44:21.449,0.75,110,0.14,2023-05-18 16:44:21.449
2023-05-18 16:44:27.557,0.75,110,0.14,2023-05-18 16:44:27.557
2023-05-18 16:44:33.994,0.75,110,0.14,2023-05-18 16:44:33.994
2023-05-18 16:44:39.759,0.75,110,0.14,2023-05-18 16:44:39.759
2023-05-18 16:44:45.553,0.75,110,0.14,2023-05-18 16:44:45.553
2023-05-18 16:44:51.315,0.75,110,0.14,2023-05-18 16:44:51.315
2023-05-18 16:44:57.065,0.75,110,0.14,2023-05-18 16:44:57.065
2023-05-18 16:45:02.726,0.75,110,0.14,2023-05-18 16:45:02.726
2023-05-18 16:45:16.539,0.75,110,0.14,2023-05-18 16:45:16.539
2023-05-18 16:45:22.576,0.75,110,0.14,2023-05-18 16:45:22.576
2023-05-18 16:45:28.815,0.75,110,0.14,2023-05-18 16:45:28.815
2023-05-18 16:45:35.155,0.75,110,0.14,2023-05-18 16:45:35.155
2023-05-18 16:45:40.821,0.75,110,0.14,2023-05-18 16:45:40.821
2023-05-18 16:45:46.655,0.75,110,0.14,2023-05-18 16:45:46.655
